Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
,,Banque - Finance - Assurance,,Commissaire aux comptes,,,,,
,,Banque - Finance - Assurance,,Comptable,,,,,
,,,,Conseiller en développement local,,,,,
,,,,Contrôleur du travail,,,,,
,,Banque - Finance - Assurance,,Credit manager,,,,,
,,Commerce,,Directeur de grand magasin,,,,,
,,,,Directeur des ressources humaines,,,,,
,,Commerce,,Directeur du marketing,,,,,
,,Commerce,,Directeur commercial,,,,,
,,Banque - Finance - Assurance,,Fiscaliste,,,,,
,,,,Manager des organisations,,,,,
,,,,Manager de risques / Risk manager,,,,,
,,,,Rédacteur territorial,,,,,
,,,,Responsable d'agence,,,,,
,,,,Responsable d'agence intérim,,,,,
,,Commerce,,Responsable marketing,,,,,
,Banque - Finance - Assurance,,,Actuaire,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Assistant comptable,,,,,
,,,,Agent général d'assurance,,,,,
,,,,Analyste financier,,,,,
,,,,Assistant comptable,,,,,
,,,,Auditeur externe,,,,,
,,,,Chargé de clientèle bancaire,,,,,
,,,,Chargé de communication financière,,,,,
,,Humanitaire,,Collecteur de fonds,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Comptable,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Commissaire aux comptes,,,,,
,,,,Conseiller en microcrédit,,,,,
,,,,Controleur de gestion,,,,,
,,,,Courtier en assurances,,,,,
,,,,Credit manager,,,,,
,,,Technicien,Dabiste,,,,,
,,,,Directeur financier,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Expert-compable,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Fiscaliste,,,,,
,,,,Gérant de portefeuille,,,,,
,,,,Gestionnaire de patrimoine,,,,,
,,,,Guichetier chargé d'accueil bancaire,,,,,
,,,,Opérateur de traitement de valeurs,,,,,
,,,,Rédacteur en assurances,,,,,
,,,,Responsable d'agence bancaire,,,,,
,,,,Trader,,,,,
,Commerce,,,Acheteur,,,,,
,,Communication - Information,,Acheteur d'espaces publicitaires,,,,,
,,,,Caissier,,,,,
,,,,Chef de produit marketing ,,,,,
,,Informatique - Numérique - Multmédia,,Chef de projet e-CRM,,,,,
,,,,Chef de rayon,,,,,
,,,,Client mystère professionnel,,,,,
,,,,Commerçant en alimentation,,,,,
,,,,Commercial,,,,,
,,,,Commercial à bord des trains,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur commercial,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur de grand magasin,,,,,
,,Audit - Conseil - Gestion - Ressources humaines,,Directeur du marketing,,,,,
,,,,E-marchandiser,,,,,
,,,,Employé de pressing,,,,,
,,,,Employé de statiion service,,,,,
,,,,Employé de libre service,,,,,
,,,,Etalagiste - décorateur,,,,,
,,Sport  - Loisirs - Animation,,Exploitant d'équipements de loisirs,,,,,
,,,,Fleuriste ,,,,,
