sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,,,,Styliste,,,,
,,Informatique,Image,Animateur 3D,,,,
,,Informatique,Image,Directeur artistique 3D,,,,
,,Informatique,Image / Ingénierie,Ingénieur en réalité virtuelle,,,,
,,Informatique,,Modeleur 3D,,,,
,,Informatique,,Progammeur technique de jeux vidéos,,,,
,,Informatique,,Scénariste multimédia,,,,
,,Informatique,,Scripte de jeux vidéos,,,,
,,,Image,Projectionniste,,,,
,,,Image,Technicien de labo photo,,,,
,,,,Monteur image et son,,,,
,,,Lumière,Artificier,,,,
,,,Lumière,Technicien lumière,,,,
,,,Production,Cadreur,,,,
,,,Production,Chargé de diffusion,,,,
,,,Production,Chargé de production,,,,
,,,Production,Chargé de programmation,,,,
,,,Production,Gestionnaire d'antenne,,,,
,,Informatique,Production,Producer,,,,
,,,,,,,,
,,,Régie,Agent d'exploitation des équipements audiovisuels,,,,
,,,Régie,Chef machnisite,,,,
,,,Régie,Chef constructeur,,,,
,,,Régie,Chef opérateur,,,,
,,,Régie,Machiniste,,,,
,,,Régie,Régisseur de spectacles,,,,
,,,,,,,,
,,,Son / Ingénierie,Ingénieur du son,,,,
,,Informatique,Son,Sound designer,,,,
,,,Son,Mixeur son ,,,,
,,,Son,Technicien son,,,,
,,,Image / Son,Opérateur synthétiseur,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Tourisme - Sport - Loisirs - Animation,,Billettiste,,,,
,Droit,,,Actuaire,,,,
,,,,Administrateur de biens,,,,
,,,,Administrateur judiciaire,,,,
,,,,Attaché territorial,,,,
,,,,Avocat,,,,
,,,,Chargé de recrutement territorial,,,,
,,,,Clerc de notaire,,,,
,,,,Contrôleur du travail,,,,
,,,,Correspondant Informatique et Libertés,,,,
,,,,Greffier,,,,
,,,,Huissier de justice,,,,
,,,,Juge,,,,
,,,,Juge pour enfants,,,,
,,,,Magistrat,,,,
,,,,Médecin légiste,,,,
,,,,Notaire,,,,
,,,,Officier d'état civil,,,,
,,,,Procureur,,,,
,,,,Rédacteur en assurances,,,,
,,,,Rédacteur territorial,,,,
,,,,Secrétaire de mairie,,,,
,,,,Secrétaire juridique,,,,
,Edition - Imprimerie - Livre,,,Auteur,,,,
,,,,Bibliothécaire,,,,
,,,,Chef d'atelier des industrices graphiques,,,,
,,,,Chef de fabrication des industries graphiques,,,,
,,,,Chefde projet numérique édition,,,,
,,,,Conducteur de machines d'assemblages,,,,
,,,,Conducteur de presse numérique,,,,
,,,,Conducteur de presse offset,,,,
,,,,Conservateur de bibliothèque,,,,
,,,,Correcteur,,,,
,,,,Directeur de collection,,,,
,,Culture - Art - Spectacle,,Directeur artistique ,,,,
,,,,Documentaliste,,,,
,,,,Iconographe,,,,
,,,,Illustrateur,,,,
,,,,imprimeur,,,,
,,Commerce,,Libraire,,,,
,,,,Maquettiste,,,,
,,,,Opérateur en PAO,,,,
,,,,Opératrice de saisie,,,,
,,,,Packager éditorial,,,,
,,,,Rédacteur en chef,,,,
,,,,Rédacteur technique,,,,
,,,,Relieur-doreur,,,,
,,,,Secrétaire d'édition,,,,
,,,,Secrétaire de rédaction,,,,
,,,,Sérigraphe,,,,
,,,,Technicien de fabrication dans l'industrie graphique,,,,
,,,,Technicien PAO,,,,
,,,,Traducteur,,,,
,,,Commerce,Chef de projet e-commerce livre,,,,
,,,Commerce,Délégué commercial édition,,,,
,,,Commerce,Libraire,,,,
,Education - Enseignement - Formation - Langues,,,Agent territorial spécialisé des écoles maternelles - ATSEM,,,,
,,,,Animateur de formation,,,,
,,,,Auxilliaire de vie scolaire,,,,
,,Recherche,,Chercheur,,,,
,,,,Conseiller principal d'éducation - CPE,,,,
,,,,Conseillère d'orientation,,,,
,,,,Educateur spécialisé,,,,
,,Informatique,,Formateur multmédia,,,,
,,,,Formateur,,,,
,,Sciences,,Géographe,,,,
,,,,Interprète,,,,
,,,,Maître de conférence,,,,
,,,,Moniteur d'auto-école,,,,
,,,,Musicologue,,,,
,,,,Professeur d'arts plastiques,,,,
,,,,Professeur d'éducation physique et sportive,,,,
,,,,Professeur d'université,,,,
,,,,Professeur de français langue étrangère (FLE),,,,
,,,,Professeur de langue des signes française (LSF),,,,
,,,,Professeur de lycée et collège,,,,
,,,,Professeur de musique,,,,
,,,,Professeur des écoles,,,,
,,,,Professeur documentaliste,,,,
,,Santé - Médecine,,Psychologue scolaire,,,,
,Entretien - Nettoyage,,,Agent de stérilisation,,,,
,,,,Agent d'entretien et d'assainissement,,,,
,,,,Agent d'entretien et de nettoyage urbain,,,,
